"","E","N","group","country","long","lat"
"11134",4589,5005,21,40,16.3694911583664,68.0557206735313
"11135",4589,5009,21,40,16.3791927951438,68.091765894023
"11136",4586,5009,21,40,16.3082085924582,68.0942588306223
"11137",4583,5014,21,40,16.2491160417746,68.1417921169043
"11138",4578,5029,21,40,16.1658777525803,68.2810858536189
"11139",4579,5033,21,40,16.1992709812962,68.3163402419464
"11140",4585,5041,21,40,16.362196316485,68.3835212195986
"11141",4595,5044,21,40,16.6093124204162,68.4020530864426
"11142",4606,5039,21,40,16.8595544326788,68.3472941463408
"11143",4609,5040,21,40,16.9339204917367,68.3535875866372
"11144",4615,5042,21,40,17.0827744551618,68.3660833772976
"11145",4624,5047,21,40,17.3120100444093,68.4025987533546
"11146",4630,5050,21,40,17.4642732471392,68.4237828435904
"11147",4633,5050,21,40,17.5361306286132,68.420832661351
"11148",4634,5053,21,40,17.5688707818857,68.4468309779169
"11149",4631,5054,21,40,17.4998455089648,68.4587916443875
"11150",4629,5055,21,40,17.4547543234183,68.4697505994192
"11151",4627,5056,21,40,17.4096213318783,68.4806987344393
"11152",4618,5052,21,40,17.1822387193675,68.4533073006078
"11153",4593,5050,21,40,16.5766548652002,68.457852411904
"11154",4590,5053,21,40,16.512163161918,68.4874666381122
"11155",4589,5057,21,40,16.49821232647,68.5243750068396
"11156",4591,5064,21,40,16.5642947403542,68.585757086134
"11157",4594,5068,21,40,16.6471407517343,68.6192082244997
"11158",4602,5076,21,40,16.8620642452477,68.684204632219
"11159",4612,5078,21,40,17.110031119748,68.6930480106014
"11160",4622,5090,21,40,17.3872299142584,68.7915823709999
"11161",4625,5100,21,40,17.4898189420455,68.8786727039634
"11162",4625,5113,21,40,17.5286526636373,68.9956987721089
"11163",4630,5125,21,40,17.688217135266,69.0987143018529
"11164",4645,5133,21,40,18.0837919126699,69.1551375736499
"11165",4645,5136,21,40,18.0935619399577,69.1821196798873
"11166",4643,5141,21,40,18.0603342737935,69.2292176808052
"11167",4642,5151,21,40,18.0681518806467,69.3202346364826
"11168",4645,5163,21,40,18.1826712626119,69.4249716665296
"11169",4647,5168,21,40,18.249503067177,69.4677807843117
"11170",4648,5169,21,40,18.2779329650392,69.4756865222853
"11171",4652,5165,21,40,18.3644338677113,69.4353334618195
"11172",4657,5157,21,40,18.4617900268482,69.3578745109256
"11173",4664,5153,21,40,18.6220944489464,69.3140584062564
"11174",4673,5154,21,40,18.8492774799097,69.312698728585
"11175",4675,5156,21,40,18.9061813829079,69.3283235840195
"11176",4668,5160,21,40,18.7463301145826,69.3723786604495
"11177",4662,5166,21,40,18.6178559466539,69.433144731577
"11178",4660,5172,21,40,18.5889226183631,69.4893332529576
"11179",4662,5175,21,40,18.6496501707485,69.5140253797972
"11180",4666,5175,21,40,18.7499422456552,69.5094433154353
"11181",4670,5177,21,40,18.8574543926161,69.5227742735469
"11182",4674,5181,21,40,18.9724653909856,69.5540058905029
"11183",4674,5184,21,40,18.9835401737609,69.5809481291626
"11184",4674,5188,21,40,18.9983530998172,69.6168713585625
"11185",4674,5192,21,40,19.0132194858203,69.6527948642683
"11186",4679,5203,21,40,19.1809975432253,69.7455782739315
"11187",4697,5212,21,40,19.6723514058622,69.8039806239013
"11188",4699,5209,21,40,19.7109363253922,69.7745236013381
"11189",4701,5191,21,40,19.6891408346936,69.6105712008564
"11190",4700,5179,21,40,19.6164823518079,69.5042475526895
"11191",4702,5170,21,40,19.6310270159295,69.421022548698
"11192",4704,5179,21,40,19.7165325680614,69.4991595917319
"11193",4705,5204,21,40,19.8423758801092,69.7219697272212
"11194",4707,5215,21,40,19.9381956309226,69.8179575057437
"11195",4710,5222,21,40,20.0435515058806,69.876738956243
"11196",4713,5224,21,40,20.1282700212035,69.8906711025681
"11197",4715,5228,21,40,20.1961888135616,69.9238253661496
"11198",4719,5231,21,40,20.3109973782916,69.9452889163098
"11199",4721,5228,21,40,20.3489481010296,69.915702926611
"11200",4723,5222,21,40,20.3737903029517,69.8592530769622
"11201",4724,5201,21,40,20.3088826967007,69.6698895190696
"11202",4726,5195,21,40,20.3336087702287,69.6134626224422
"11203",4725,5186,21,40,20.2704457649701,69.5342550694451
"11204",4719,5165,21,40,20.0339069330781,69.3542387051901
"11205",4720,5162,21,40,20.0464936284634,69.3260532127913
"11206",4722,5164,21,40,20.1042738937406,69.3413129957406
"11207",4725,5167,21,40,20.1910958104428,69.3641695542981
"11208",4733,5188,21,40,20.4790676118489,69.5412357171891
"11209",4743,5187,21,40,20.7246399042118,69.5183482946413
"11210",4743,5188,21,40,20.7290346814295,69.5272889555313
"11211",4739,5193,21,40,20.6509203098806,69.5776223059593
"11212",4734,5198,21,40,20.5473534115102,69.6293176679073
"11213",4732,5204,21,40,20.5231642914838,69.6857708264342
"11214",4729,5222,21,40,20.5260333793245,69.8509938519937
"11215",4731,5229,21,40,20.6077364449071,69.9108474635803
"11216",4739,5230,21,40,20.8155944986106,69.9085036313197
"11217",4744,5231,21,40,20.9472035183718,69.9102779702668
"11218",4747,5229,21,40,21.0141992964951,69.888063150477
"11219",4752,5230,21,40,21.1457037992763,69.8897032358515
"11220",4753,5243,21,40,21.2321156470395,70.0043623725336
"11221",4760,5245,21,40,21.420136447127,70.0117789179594
"11222",4767,5238,21,40,21.5645155394882,69.9387049204016
"11223",4776,5233,21,40,21.7683725030982,69.8802813678501
"11224",4783,5226,21,40,21.9107569399596,69.8069713932238
"11225",4784,5229,21,40,21.9508861857786,69.8321384842713
"11226",4778,5247,21,40,21.8885086992918,70.0019946947994
"11227",4773,5253,21,40,21.7909438915113,70.0632920110432
"11228",4765,5255,21,40,21.5963506491313,70.0934585076395
"11229",4755,5262,21,40,21.3740322115707,70.1710870355717
"11230",4753,5265,21,40,21.3370844146698,70.2008754064276
"11231",4753,5268,21,40,21.3515635330277,70.2276714028047
"11232",4759,5272,21,40,21.5256768136728,70.2543407982798
"11233",4769,5270,21,40,21.7732727356536,70.2211342579375
"11234",4775,5279,21,40,21.9733805611784,70.2920072368721
"11235",4778,5277,21,40,22.0404693457666,70.2694292760396
"11236",4783,5282,21,40,22.1952370659188,70.3060014419942
"11237",4788,5278,21,40,22.3031574623495,70.262297183792
"11238",4790,5280,21,40,22.3651619917445,70.2768572600016
"11239",4790,5286,21,40,22.3968983087488,70.330283987859
"11240",4799,5292,21,40,22.6615243992887,70.3688250033469
"11241",4806,5290,21,40,22.8313116060943,70.3392777984014
"11242",4810,5287,21,40,22.9178695727072,70.3058221496459
"11243",4814,5280,21,40,22.9820309907994,70.2367872871582
"11244",4819,5265,21,40,23.0272271950982,70.0949558862107
"11245",4826,5258,21,40,23.166659956116,70.0207273368161
"11246",4830,5255,21,40,23.251474015142,69.987147115014
"11247",4833,5255,21,40,23.3274751616436,69.9819043010394
"11248",4834,5259,21,40,23.3752316853261,70.0156388939496
"11249",4830,5263,21,40,23.2960976152961,70.0581487180115
"11250",4828,5267,21,40,23.2676038651181,70.0971453505487
"11251",4827,5279,21,40,23.309564570654,70.2054061414939
"11252",4828,5284,21,40,23.3635222205009,70.2480268365437
"11253",4835,5302,21,40,23.6474030086449,70.3952559476176
"11254",4842,5312,21,40,23.8874044246006,70.4712008005245
"11255",4847,5314,21,40,24.0287730713859,70.4797248019367
"11256",4851,5335,21,40,24.2612594721187,70.6581821217195
"11257",4853,5339,21,40,24.3383419359436,70.6898084626279
"11258",4855,5340,21,40,24.3968112778373,70.6948683079091
"11259",4853,5345,21,40,24.3759468976089,70.7428925138389
"11260",4848,5347,21,40,24.2575366353818,70.7700276791696
"11261",4846,5353,21,40,24.2425483832271,70.8268961296199
"11262",4851,5361,21,40,24.4245879596682,70.8882401696701
"11263",4856,5374,21,40,24.6401380998079,70.9936231881348
"11264",4860,5376,21,40,24.7590307284324,71.0035433661611
"11265",4863,5373,21,40,24.818688437788,70.9711849478629
"11266",4872,5370,21,40,25.0362977489617,70.9269785593023
"11267",4878,5365,21,40,25.1608158386826,70.8709187807202
"11268",4882,5362,21,40,25.2456943602705,70.8364465536897
"11269",4884,5364,21,40,25.3115429345291,70.8500542804241
"11270",4885,5369,21,40,25.3715351898366,70.8921073544538
"11271",4886,5371,21,40,25.4113748686713,70.9077059943773
"11272",4891,5371,21,40,25.5427206865764,70.8975096916198
"11273",4895,5369,21,40,25.6339396882212,70.8716833367421
"11274",4897,5369,21,40,25.6863598835395,70.8675579961984
"11275",4900,5368,21,40,25.7580259601643,70.8525451013953
"11276",4901,5364,21,40,25.7565216641523,70.8152720974891
"11277",4898,5359,21,40,25.6438024270121,70.777467323529
"11278",4894,5346,21,40,25.4514880094793,70.6711749253376
"11279",4890,5331,21,40,25.2480420529752,70.5470736150403
"11280",4890,5324,21,40,25.202087243737,70.4853641032006
"11281",4892,5306,21,40,25.1364463374083,70.3226763231022
"11282",4889,5293,21,40,24.9766287727501,70.2139636095815
"11283",4891,5285,21,40,24.9767777212486,70.1394585227659
"11284",4894,5282,21,40,25.0338602947459,70.1070859394692
"11285",4899,5286,21,40,25.1860725831659,70.1324264141509
"11286",4904,5299,21,40,25.3972241784507,70.2369155063047
"11287",4903,5310,21,40,25.4438929675593,70.3358141915372
"11288",4914,5345,21,40,25.9631853194964,70.6210408145306
"11289",4919,5364,21,40,26.2260744383484,70.7773849393337
"11290",4925,5380,21,40,26.4975684037208,70.9048991864085
"11291",4929,5385,21,40,26.6388309290077,70.9400264691184
"11292",4934,5376,21,40,26.7035426446957,70.8501673758277
"11293",4936,5364,21,40,26.6679952690851,70.740607915562
"11294",4934,5355,21,40,26.551127401441,70.6660786192347
"11295",4938,5352,21,40,26.6329114420983,70.6310552378817
"11296",4940,5343,21,40,26.6197576003251,70.5478038345015
"11297",4940,5338,21,40,26.5839999569874,70.5039787784048
"11298",4941,5332,21,40,26.5669130034158,70.4492080925018
"11299",4942,5327,21,40,26.5570166307545,70.4032048730239
"11300",4945,5329,21,40,26.6478789252033,70.4141927830514
"11301",4954,5342,21,40,26.9719933836267,70.5081611925934
"11302",4954,5353,21,40,27.0527051939506,70.6044036880219
"11303",4955,5362,21,40,27.1451847832772,70.6808774081101
"11304",4954,5369,21,40,27.1715761273849,70.7443464041529
"11305",4957,5376,21,40,27.3020399154376,70.7987468594396
"11306",4965,5378,21,40,27.5248351403471,70.7979117383148
"11307",4965,5381,21,40,27.5478435557383,70.8241034957488
